Designator,Mid X,Mid Y,Rotation,Layer
C1,144.9,-75.8,90.0,top
C2,141.7,-81.7,225.0,top
C3,149.18,-91.7325,270.0,top
C4,149.2,-77.0,90.0,top
C5,150.1,-91.7325,270.0,top
C6,148.685,-87.1,270.0,top
C7,148.32821,-89.617868,270.0,top
C8,147.7,-87.1,270.0,top
C9,147.208209,-89.617868,270.0,top
IC1,152.4,-87.63,180.0,bottom
IC2,152.4,-78.74,180.0,bottom
J1,135.923875,-85.9,270.0,top
R3,141.8,-85.0,90.0,top
R4,141.8,-86.8,270.0,top
R5,156.1,-79.0,0.0,top
R6,150.1,-84.4,90.0,top
U1,137.2,-75.1,135.0,top
